DRCINAACC-3# show mac address-table
Legend:
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False, C - ControlPlane MAC, ~ - vsan
   VLAN     MAC Address      Type      age     Secure NTFY Ports
* 1086     001d.d8b7.1d10   dynamic  0         F      F    Po3
* 1086     001d.d8b7.1d13   dynamic  0         F      F    Po3
* 1086     001d.d8b7.1d35   dynamic  0         F      F    Po3
* 1086     001d.d8b7.1d38   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1d3e   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1d47   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1d6d   dynamic  0         F      F    Po3
* 1086     001d.d8b7.1da2   dynamic  0         F      F    Po3
* 1086     001d.d8b7.1dc3   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1dc5   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1dc8   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1dc9   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1dca   dynamic  0         F      F    Po3
* 1086     001d.d8b7.1dcb   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1dcd   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1dd4   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1dd8   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1de3   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1de4   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1df0   dynamic  0         F      F    Po3
* 1086     001d.d8b7.1df1   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1df3   dynamic  0         F      F    Po3
* 1086     001d.d8b7.1df5   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1df6   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1e04   dynamic  0         F      F    Po3
* 1086     001d.d8b7.1e14   dynamic  0         F      F    Po3
* 1086     001d.d8b7.1e48   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1e4a   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1e53   dynamic  0         F      F    Po3
* 1086     001d.d8b7.1e5a   dynamic  0         F      F    Po3
* 1086     001d.d8b7.1e5b   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1e7e   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1e7f   dynamic  0         F      F    Po3
* 1086     001d.d8b7.1e81   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1ea7   dynamic  0         F      F    Po3
* 1086     001d.d8b7.1eb1   dynamic  0         F      F    Po3
* 1086     001d.d8b7.1eb2   dynamic  0         F      F    Po3
+ 1086     001d.d8b7.1eb5   dynamic  0         F      F    Po3
+ 1086     6c9c.ed42.61c2   dynamic  0         F      F    Po3
* 1086     6c9c.ed44.d142   dynamic  0         F      F    Po3
+ 1088     0015.5d0b.6b14   dynamic  0         F      F    Po3
* 1088     0015.5d0b.6b15   dynamic  0         F      F    Po3
+ 1088     0015.5d0b.6b16   dynamic  0         F      F    Po3
* 1088     0015.5d0b.6b17   dynamic  0         F      F    Po3
* 1088     0015.5d0b.6b18   dynamic  0         F      F    Po3
+ 1088     0015.5d0b.6b19   dynamic  0         F      F    Po3
* 1088     0015.5d0b.6b1a   dynamic  0         F      F    Po3
* 1088     0015.5d0b.6b1b   dynamic  0         F      F    Po3
+ 1088     0015.5d0b.6b1c   dynamic  0         F      F    Po3
+ 1088     0015.5d0b.6b1d   dynamic  0         F      F    Po3
* 1088     001d.d8b7.1ccf   dynamic  0         F      F    Po3
+ 1088     001d.d8b7.1cd0   dynamic  0         F      F    Po3
+ 1088     001d.d8b7.1cda   dynamic  0         F      F    Po3
+ 1088     001d.d8b7.1ce8   dynamic  0         F      F    Po3
+ 1088     001d.d8b7.1cea   dynamic  0         F      F    Po3
* 1088     001d.d8b7.1ced   dynamic  0         F      F    Po3
* 1088     001d.d8b7.1cee   dynamic  0         F      F    Po3
+ 1088     001d.d8b7.1cf4   dynamic  0         F      F    Po3
* 1088     001d.d8b7.1cf7   dynamic  0         F      F    Po3
+ 1088     001d.d8b7.1cfb   dynamic  0         F      F    Po3
* 1088     001d.d8b7.1d0d   dynamic  0         F      F    Po3
* 1088     001d.d8b7.1d0e   dynamic  0         F      F    Po3
* 1088     001d.d8b7.1d11   dynamic  0         F      F    Po3
+ 1088     001d.d8b7.1d18   dynamic  0         F      F    Po3
* 1088     001d.d8b7.1d1b   dynamic  0         F      F    Po3
+ 1088     001d.d8b7.1d22   dynamic  0         F      F    Po3
